date_identified,company,division,signal_type,pe_buyer,likely_buyers,size_estimate,ev_low_usd_m,ev_high_usd_m,sector,geography,complexity,key_quote,buyer_intelligence,notes,confidence,source_url
2026-01-24,INEOS,INEOS Composites,Deal Completed,KPS Capital Partners,[],Not disclosed,,,Industrials,Global,High,"In March 2025, KPS completed the acquisition of INEOS Composites, forming Alta Performance Materials as a new platform company.",KPS formed new platform company Alta Performance Materials,"Carve-out completed March 2025, rebranded as Alta Performance Materials",High,https://www.kpsfund.com/news/press-releases/2025/03/31/
2026-01-24,Owens & Minor,Products & Healthcare Services Business,Deal Completed,Platinum Equity,[],Not disclosed,,,Healthcare,US,High,"Platinum Equity completed the acquisition of the Owens & Minor Products & Healthcare Services business on December 31, 2025. The seller retained a five percent interest in the business.",Platinum leveraging 30 years of carve-out experience. Seller retained 5% stake. Business continues to operate as Owens & Minor P&HS.,"Healthcare supply chain carve-out completed Dec 31, 2025. Seller rebranded remaining business as Accendra Health.",High,https://www.platinumequity.com/news/
2026-01-24,Heidrick & Struggles,,Deal Completed,"Advent International, Corvex Private Equity",[],$1.3B,,,Financial Services,US,Medium,"Heidrick & Struggles completed a take-private transaction led by Advent International and Corvex Private Equity, valued at approximately $1.3 billion in December 2025.",Take-private of entire company by Advent and Corvex consortium,"Whole company take-private, not a carve-out",High,https://www.prnewswire.com/news-releases/
2026-01-24,Louwman Group,Care Division,Deal Completed,AURELIUS,[],€150M revenue,,,Healthcare,Europe,Medium,AURELIUS acquired the Care Division of family-owned Dutch company Louwman Group in November 2025. The Care Division generated €150m in revenue in 2024 and employs 715 people.,"Carve-out from family-owned Dutch conglomerate. 90,000+ customers across Netherlands.",Healthcare services carve-out completed November 2025,High,https://www.aurelius-group.com/
2026-01-24,Teijin Limited,Teijin Automotive Technologies North America,Deal Completed,AURELIUS,[],$1B+ revenue,,,Industrials,US,Very High,"AURELIUS acquired TAT-NA from Teijin Limited in March 2025, marking the first transaction advised by the AURELIUS Investment Advisory team in New York. TAT-NA employs approximately 4,500 personnel and generates annual revenues exceeding USD 1 billion.",First US transaction for AURELIUS NY advisory team. Large-scale automotive components manufacturer.,"Major automotive composites carve-out - 4,500 employees, $1B+ revenue",High,https://www.aurelius-group.com/
2026-01-24,Warren Equipment Company,Global Compression Services,Deal Completed,Lion Equity Partners,[],Not disclosed,,,Industrials,US,Medium,"Lion Equity Partners, a Denver-based private equity firm specializing in corporate carve-outs, acquired Global Compression Services from Warren Equipment Company in January 2025.",Lion Equity specializes in carve-outs. Completed in January 2025.,Compression services equipment business,High,https://www.businesswire.com/news/home/20250108233787/
2026-01-24,Avantor Inc,Clinical Services Business,Deal Completed,Audax Private Equity,[],Not disclosed,,,Healthcare,US,High,"Audax Private Equity completed its acquisition of the clinical services business of Avantor, Inc. and re-branded the business as Resonant Clinical Solutions in October 2024.",Carve-out completed and rebranded. Transaction actually closed in 2024.,"Clinical services for pharmaceutical/biotech - completed 2024, not 2025",High,https://www.businesswire.com/news/home/20241018249909/
2026-01-24,Cargotec (Hiab),MacGregor,Deal Completed,Triton Partners,[],Not disclosed,,,Industrials,Europe,High,"Triton completes carve-out of MacGregor, acquired from Hiab, formerly Cargotec in August 2025.",Triton specializes in European carve-outs. MacGregor is marine cargo handling equipment.,Marine/offshore equipment carve-out completed August 2025,High,https://www.pehub.com/triton-completes-carve-out-of-macgregor/
2026-01-24,Volkswagen,Renk,Deal Completed,Triton Partners,[],Not disclosed,,,Industrials,Europe,Very High,"Triton exits Renk with sale of remaining shares in September 2025, concluding a five-year partnership that began with Triton's carve-out of Renk from Volkswagen.","Triton originally carved out Renk from VW, held for 5 years, exited via IPO/sale in 2025","This is an exit, not an acquisition. Triton carved out Renk previously and exited in 2025.",High,https://www.pehub.com/triton-exits-renk/
2026-01-24,Kantar Group,Kantar Media,Deal Completed,H.I.G. Capital,[],Not disclosed,,,TMT,Global,High,HIG buys Kantar Media in carve-out from Kantar Group in August 2025.,H.I.G. Capital active in media/data carve-outs,Media intelligence and monitoring services carve-out,High,https://www.pehub.com/hig-buys-kantar-media-in-carve-out-from-kantar-group/
